Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,4/16/2012,34.5,34.6,34.65,34.5,4.18M,-0.7%
AP,Industrial,4/17/2012,34.55,34.55,34.8,34,2.69M,0.1%
AP,Industrial,4/18/2012,34.8,34.55,35.2,34.55,3.02M,0.7%
AP,Industrial,4/19/2012,35,34.8,35.5,34.75,4.07M,0.6%
AP,Industrial,4/20/2012,35.05,35,35.45,34.85,1.04M,0.1%
AP,Industrial,4/23/2012,35,35.05,35.1,34.5,3.73M,-0.1%
AP,Industrial,4/24/2012,34.5,34.9,34.9,34.2,3.01M,-1.4%
AP,Industrial,4/25/2012,34.15,34.9,35,34.1,4.41M,-1.0%
AP,Industrial,4/26/2012,34.8,34.1,35.1,34.1,1.83M,1.9%
AP,Industrial,4/27/2012,34.4,34.8,34.8,34.15,2.02M,-1.2%
AP,Industrial,4/30/2012,34,34.35,34.7,34,2.54M,-1.2%
AP,Industrial,5/2/2012,34.3,34.05,34.7,34.05,2.06M,0.9%
AP,Industrial,5/3/2012,34.8,34.3,35,34.3,1.56M,1.5%
AP,Industrial,5/4/2012,35.1,34.8,35.25,34.8,4.61M,0.9%
AP,Industrial,5/7/2012,34.6,35.15,35.15,34,1.58M,-1.4%
AP,Industrial,5/8/2012,34.6,34.5,34.9,34.05,2.41M,0.0%
AP,Industrial,5/9/2012,34.6,34.6,34.65,34.45,3.35M,0.0%
AP,Industrial,5/10/2012,34.8,34.65,35,33.95,5.37M,0.6%
AP,Industrial,5/11/2012,34.75,34.8,35.1,34.7,3.70M,-0.1%
AP,Industrial,5/14/2012,34.5,34.75,34.75,34,4.92M,-0.7%
AP,Industrial,5/15/2012,33.9,34,34,33.75,9.63M,-1.7%
AP,Industrial,5/16/2012,33.5,33.7,33.9,33.1,5.24M,-1.2%
AP,Industrial,5/17/2012,33.85,33.5,34.2,33.3,5.47M,1.0%
AP,Industrial,5/18/2012,33.7,33.5,33.85,33.15,3.81M,-0.4%
AP,Industrial,5/21/2012,33.8,33.25,34.2,33.25,2.29M,0.3%
AP,Industrial,5/22/2012,33.65,33.6,34.3,33.6,2.28M,-0.4%
AP,Industrial,5/23/2012,33.9,34,34,33.6,4.02M,0.7%
AP,Industrial,5/24/2012,33.9,33.85,33.95,33.8,1.76M,0.0%
AP,Industrial,5/25/2012,33.75,34,34,33.5,1.14M,-0.4%
AP,Industrial,5/28/2012,34,33.8,34.1,33.8,3.16M,0.7%
AP,Industrial,5/29/2012,34.9,34,34.95,34,1.44M,2.7%
AP,Industrial,5/30/2012,34.95,34.9,35.3,34.85,4.20M,0.1%
AP,Industrial,5/31/2012,35.35,34.9,35.35,34.8,10.35M,1.1%
AP,Industrial,6/1/2012,34.5,35.15,35.15,34.45,2.07M,-2.4%
AP,Industrial,6/4/2012,33.5,34.5,34.5,33.2,2.92M,-2.9%
AP,Industrial,6/5/2012,33.25,33.3,34,33.25,1.89M,-0.8%
AP,Industrial,6/6/2012,33.7,33.9,34.15,33.5,2.07M,1.4%
AP,Industrial,6/7/2012,34.05,34.4,34.45,33.8,2.10M,1.0%
AP,Industrial,6/8/2012,33.8,33.7,34.25,33.7,1.83M,-0.7%
AP,Industrial,6/11/2012,33.35,33.9,34,33.25,2.70M,-1.3%
AP,Industrial,6/13/2012,33.6,34,34,33.4,1.78M,0.8%
AP,Industrial,6/14/2012,32.55,33.6,33.6,32.55,5.79M,-3.1%
AP,Industrial,6/15/2012,31.8,32.7,33,31,22.03M,-2.3%
AP,Industrial,6/18/2012,32.75,32.5,33.1,32.5,5.65M,3.0%
AP,Industrial,6/19/2012,33.1,32.75,33.25,32.2,3.77M,1.1%
AP,Industrial,6/20/2012,33.15,33.1,33.15,33.05,5.36M,0.2%
AP,Industrial,6/21/2012,33.1,33.15,33.3,33,3.89M,-0.2%
AP,Industrial,6/22/2012,33.2,33,33.45,32.8,4.26M,0.3%
AP,Industrial,6/25/2012,33.45,33.5,33.85,33.4,2.58M,0.8%
AP,Industrial,6/26/2012,33.6,33.45,33.8,33.45,4.30M,0.5%
AP,Industrial,6/27/2012,35.15,33.7,35.15,33.7,10.68M,4.6%
AP,Industrial,6/28/2012,34.45,35.05,35.05,33.8,2.84M,-2.0%
AP,Industrial,6/29/2012,34.15,34.8,34.8,34,2.20M,-0.9%
AP,Industrial,7/2/2012,34.3,34.25,34.95,34.2,4.41M,0.4%
AP,Industrial,7/3/2012,34.3,34.25,34.5,34.2,3.96M,0.0%
AP,Industrial,7/4/2012,34.45,34.35,34.55,34.3,4.61M,0.4%
AP,Industrial,7/5/2012,34.65,34.85,34.9,34.5,1.90M,0.6%
AP,Industrial,7/6/2012,34.6,34.65,34.7,34.55,2.24M,-0.1%
AP,Industrial,7/9/2012,34,34,34.4,34,785.50K,-1.7%
AP,Industrial,7/10/2012,34,34,34.2,34,1.35M,0.0%
AP,Industrial,7/11/2012,34.45,34.75,34.75,33.7,1.34M,1.3%
AP,Industrial,7/12/2012,34.05,34.45,34.45,34,974.80K,-1.2%
AP,Industrial,7/13/2012,33.95,33.9,34.25,33.9,342.20K,-0.3%
